,Case Number,Date,Year,Country,Area,Location,Sex ,Age,Activity,Time_int,Time_cat,Fatal,Species
0,2018.06.25,2018-06-25,2018.0,USA,California,"Oceanside, San Diego County",F,57,sailing,18,,N,White Shark
1,2018.06.18,2018-06-18,2018.0,USA,Georgia,"St. Simon Island, Glynn County",F,11,surfing,14,,N,Uncomfirmed Species
2,2018.06.09,2018-06-09,2018.0,USA,Hawaii,"Habush, Oahu",M,48,surfing,07,,N,Uncomfirmed Species
3,2018.06.08,2018-06-08,2018.0,AUSTRALIA,New South Wales,Arrawarra Headland,M,,surfing,,,N,Uncomfirmed Species
4,2018.06.04,2018-06-04,2018.0,MEXICO,Colima,La Ticla,M,,swimming,,,N,Tiger Shark
5,2018.06.03.b,2018-06-03,2018.0,AUSTRALIA,New South Wales,"Flat Rock, Ballina",M,,surfing,,,N,Uncomfirmed Species
6,2018.06.03.a,2018-06-03,2018.0,BRAZIL,Pernambuco,"Piedade Beach, Recife",M,18,swimming,,afternoon,Y,Tiger Shark
7,2018.05.27,2018-05-27,2018.0,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",M,52,fishing,,,N,Uncomfirmed Species
8,2018.05.26.b,2018-05-26,2018.0,USA,Florida,"Cocoa Beach, Brevard  County",M,15,swimming,17,,N,Bull Shark
9,2018.05.26.a,2018-05-26,2018.0,USA,Florida,"Daytona Beach, Volusia County",M,12,surfing,14,,N,Uncomfirmed Species
10,2018.05.24,2018-05-24,2018.0,AUSTRALIA,Queensland,Cairns Aquarium,M,32,swimming,,morning,N,Uncomfirmed Species
11,2018.05.21,2018-05-21,2018.0,USA,South Carolina,"Isle of Palms,  Charleston County",M,10,surfing,,,N,Uncomfirmed Species
12,2018.05.13.b,2018-05-13,2018.0,USA,South Carolina,"Hilton Head Island, Beaufort County",M,10,swimming,15,,N,Uncomfirmed Species
13,2018.05.13.a,2018-05-13,2018.0,ENGLAND,Cornwall,Off Land's End,M,21,fishing,08,,N,No shark involved
14,2018.05.00,,2018.0,AUSTRALIA,Westerm Australia,Dugong Bay,F,34,swimming,,,N,Uncomfirmed Species
15,2018.05.12,2018-05-12,2018.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",M,,surfing,11,,N,Uncomfirmed Species
16,2018.05.09,2018-05-09,2018.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",M,,surfing,10,,N,Uncomfirmed Species
17,2018.04.30.R,2018-04-30,2018.0,THAILAND,Hua Hin,Sai Noi Beach,M,,swimming,,,N,Uncomfirmed Species
18,2018.04.28.b,2018-04-28,2018.0,COSTA RICA,Cocos Island,Manuelita,M,30,swimming,10,,N,Tiger Shark
19,2018.04.28.a,2018-04-28,2018.0,AUSTRALIA,Western Australia,Gearys Beach,M,,surfing,16,,N,Uncomfirmed Species
20,2018.04.25.b,2018-04-25,2018.0,AUSTRALIA,New South Wales,Lennox Head,M,,surfing,07,,N,No shark involved
21,2018.04.25.a,2018-04-25,2018.0,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",M,60,surfing,09,,N,Uncomfirmed Species
22,2018.04.24,2018-04-24,2018.0,AUSTRALIA,Western Australia,"South Point, Gracetown",M,,surfing,,afternoon,N,White Shark
23,2018.04.23,2018-04-23,2018.0,MALDIVES,Alifu Alifu Atoll,Madoogali,M,32,fishing,21,,N,Tiger Shark
24,2018.04.22,2018-04-22,2018.0,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",M,33,swimming,09,,N,White Shark
25,2018.04.19,2018-04-19,2018.0,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",M,29,surfing,,,N,Uncomfirmed Species
26,2018.04.15.d,2018-04-15,2018.0,THAILAND,Hua Hin,Sai Noi Beach,M,54,swimming,,,N,Bull Shark
27,2018.04.15.c,2018-04-15,2018.0,BRAZIL,Pernambuco,Piedade,M,34,swimming,,,,Uncomfirmed Species
28,2018.04.15.b,2018-04-15,2018.0,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",M,41,surfing,,,N,Uncomfirmed Species
29,2018.04.15.a,2018-04-15,2018.0,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",M,37,surfing,08,,N,Uncomfirmed Species
30,2018.04.14,2018-04-14,2018.0,BAHAMAS,New Providence,Nirvana Beach,M,,surfing,09,,N,Tiger Shark
31,2018.04.10.R,2018-04-10,2018.0,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",M,56,fishing,,,N,Uncomfirmed Species
32,2018.04.09,2018-04-09,2018.0,NEW CALEDONIA,,"Magenta Beach, Noumea",,,surfing,17,,N,Uncomfirmed Species
33,2018.04.05,2018-04-05,2018.0,BAHAMAS,,Bimini,M,12,swimming,18,,N,Bull Shark
34,2018.04.03,2018-04-03,2018.0,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,M,19,surfing,15,,N,White Shark
35,2018.03.31,2018-03-31,2018.0,USA,Hawaii,Kukio Beach,M,25,surfing,09,,N,Tiger Shark
36,2018.03.14,2018-03-14,2018.0,AUSTRALIA,Western Australia,Waterman's Bay,M,10,swimming,17,,N,Wobbegong Shark
37,2018.03.09.b,2018-03-09,2018.0,AUSTRALIA,Victoria,Lorne,M,69,swimming,15,,N,Uncomfirmed Species
38,2018.03.09.a,2018-03-09,2018.0,AUSTRALIA,Victoria,Winkipop,M,18,surfing,07,,N,Uncomfirmed Species
39,2018.02.24,2018-02-24,2018.0,SOUTH AFRICA,KwaZulu-Natal,Durban,M,38,swimming,,,N,Uncomfirmed Species
40,2018.02.23,2018-02-23,2018.0,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",F,55,swimming,19,night,N,White Shark
41,2018.02.17,2018-02-17,2018.0,AUSTRALIA,Victoria,Westernport Bay,M,34,swimming,,night,N,Uncomfirmed Species
42,2018.02.15,2018-02-15,2018.0,AUSTRALIA,New South Wales,"Surf Beach, Kiama",M,35,swimming,16,,N,Bull Shark
43,2018.02.14,2018-02-14,2018.0,AUSTRALIA,Queensland,Mooloolaba Beach,F,,swimming,18,,N,Wobbegong Shark
44,2018.02.11,2018-02-11,2018.0,BRAZIL,"Boi Island, Victoria",Espirito Santo,F,46,fishing,,,N,Uncomfirmed Species
45,2018.02.03,2018-02-03,2018.0,ECUADOR,Galapagos Islands,Santa Fe Island,M,45,swimming,,,N,Uncomfirmed Species
